베트남,rank,전년도_방문자수,전년대비증가율
141504,14,,
162765,11,141504.0,15.025016960651289
251402,10,162765.0,54.457039289773604
324740,8,251402.0,29.171605635595583
457818,8,324740.0,40.979860811726304
553731,7,457818.0,20.95002817713589
81939,7,553731.0,-85.20238166185386
22946,9,81939.0,-71.99624110618875
185061,5,22946.0,706.5065806676545
229690,5,185061.0,24.11583207699083
