기준년월,순위,해시태그
201911,1,#korea
201912,1,#korea
201911,2,#visitkorea
201912,2,#visitkorea
201911,3,#kto
201912,3,#kto
201911,4,#dulichhanquoc
201912,4,#travel
201911,5,#travel
201912,5,#dulichhanquoc
201911,6,#beauty
201912,6,#makeup
201911,7,#makeup
201912,7,#skincare
201911,8,#skincare
201912,8,#hanoi
201911,9,#photooftheday
201912,9,#beauty
201911,10,#seoul
201912,10,#seoul
