기준년월,버즈,인게이지먼트,,인게이지먼트 총계
201811,409,5412,27824,366755
201812,353,42547,27824,366755
201901,256,2760,27824,366755
201902,332,18071,27824,366755
201903,554,14531,27824,366755
201904,317,6166,27824,366755
201905,500,19790,27824,366755
201906,431,13884,27824,366755
201907,453,14500,27824,366755
201908,2271,103798,27824,366755
201909,737,37826,27824,366755
201910,21211,87470,27824,366755
