기준년월,국가,긍정,부정,긍정 총계,부정 총계
201811,베트남,66.66666666666666,33.33333333333333,971.1185565227654,228.8814434772346
201812,베트남,61.81818181818181,38.18181818181819,971.1185565227654,228.8814434772346
201901,베트남,77.77777777777779,22.22222222222222,971.1185565227654,228.8814434772346
201902,베트남,94.44444444444444,5.555555555555555,971.1185565227654,228.8814434772346
201903,베트남,94.56521739130434,5.434782608695652,971.1185565227654,228.8814434772346
201904,베트남,88.54166666666666,11.458333333333332,971.1185565227654,228.8814434772346
201905,베트남,93.95973154362416,6.0402684563758395,971.1185565227654,228.8814434772346
201906,베트남,88.52459016393442,11.475409836065573,971.1185565227654,228.8814434772346
201907,베트남,95.55555555555556,4.444444444444445,971.1185565227654,228.8814434772346
201908,베트남,49.32432432432432,50.67567567567568,971.1185565227654,228.8814434772346
201909,베트남,77.77777777777779,22.22222222222222,971.1185565227654,228.8814434772346
201910,베트남,82.16262239250744,17.83737760749255,971.1185565227654,228.8814434772346
