기준년월,국가,긍정,부정,긍정 총계,부정 총계
202201,베트남,69.1891891891892,30.810810810810814,792.1537106845794,407.84628931542085
202202,베트남,63.96683673469388,36.03316326530612,792.1537106845794,407.84628931542085
202203,베트남,65.61169720525633,34.388302794743666,792.1537106845794,407.84628931542085
202204,베트남,66.62777129521587,33.37222870478413,792.1537106845794,407.84628931542085
202205,베트남,65.6003708854891,34.399629114510894,792.1537106845794,407.84628931542085
202206,베트남,62.829076620825155,37.17092337917485,792.1537106845794,407.84628931542085
202207,베트남,66.08048698004735,33.91951301995266,792.1537106845794,407.84628931542085
202208,베트남,65.26694661067786,34.73305338932214,792.1537106845794,407.84628931542085
202209,베트남,67.19745222929936,32.802547770700635,792.1537106845794,407.84628931542085
202210,베트남,70.34906022247795,29.650939777522055,792.1537106845794,407.84628931542085
202211,베트남,69.02908643998362,30.97091356001639,792.1537106845794,407.84628931542085
202212,베트남,60.40573627142357,39.59426372857642,792.1537106845794,407.84628931542085
