기준년월,버즈,인게이지먼트,,인게이지먼트 총계
202301,17309,181279,153370,1175843
202302,13478,65276,153370,1175843
202303,16803,98182,153370,1175843
202304,18487,137832,153370,1175843
202305,19521,207776,153370,1175843
202306,27312,198547,153370,1175843
202307,18369,165322,153370,1175843
202308,22091,121629,153370,1175843
