기준년월,국가,Twitter,Facebook,Instagram,YouTube,기타
202201,베트남,10.6228846,0.002731429,0.6947331,1.6447954,86.7644439
202202,베트남,6.6577181,0.001825503,0.5208054,1.3422819000000001,91.2966443
202203,베트남,3.3710571000000003,0.001284212,0.6019745,1.17987,94.7186773
202204,베트남,5.4060462,0.00260818,0.9780676,2.1932424,91.1618257
202205,베트남,7.3616367,0.003311258,1.0406811999999999,2.1641437999999997,89.1024125
202206,베트남,5.6965276000000005,0.00267105,1.4125745,2.0135607,90.6102322
202207,베트남,7.9848477,0.00149529,1.8790809,2.895878,87.0906644
202208,베트남,9.0737495,0.001348254,2.4897757,2.5796593,85.72199
202209,베트남,8.8496453,0.001736197,3.1053128,3.7055409,84.1658812
202210,베트남,9.469031,0.002762847,3.4862109,1.2357462,85.5327272
202211,베트남,11.4244933,0.002683414,5.383956599999999,1.7584927000000001,81.164716
202212,베트남,8.898327,0.003211271,4.7236754,1.5952762999999999,84.46159420000001
