"","id","Q1","RQ1","Q2a1","Q2a2","MQ2A2_61","RQ2A2","Q2B","Q2A2_14","MQ2A2_1461","RQ2A2_14","Q3","Q3B1","Q3B2","Q3B3","Q4A01","Q4A02","Q4A03","Q4A04","Q4A05","Q4A06","Q4A07","Q4A08","Q4A09","Q4A10","Q4A11","Q4A12","Q4A13","Q4A14","Q4A15","Q4A16","Q4A17","Q5A01","Q5A02","Q5A03","Q5A04","Q5A05","Q5A06","Q5A07","Q5A08","Q5A09","Q5A10","Q5A11","Q5A12","Q5A13","Q5A14","Q5A15","Q5A16","Q5A17","KWON1","KWON2","KWON3","KWON4","KWON5","KWON6","KWON7","KWON8","총액1인TOT","총액1인MIS","C총액1인TOT","DAY평균T","DAY평균","RDAY평균","Q7","Q8","Q9","D_MON","D_BUN","D_NAT","D_SEX","D_AGE","D_MOK","D_ENT","D_PLA","D_Q1","D_TYP"
"2213",10506,2,"2회",238,239,NA,"91일 이상","포함된 일정이다",225,NA,"91일 이상","친구/친지 방문","쇼핑","음식/미식 탐방","치료 및 미용 서비스 체험","식도락 관광","쇼핑","자연경관 감상",NA,NA,NA,"K-POP/한류스타 관련 공연장 방문",NA,NA,NA,"유흥/오락",NA,NA,NA,NA,NA,NA,NA,"경기",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"경기도",NA,NA,NA,NA,NA,NA,7086.48,7086.48,"5000$ 초과- 10000$ 이하",29.6505439330544,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","태국","여성","31-40세","친구/친지방문","자가격리포함","인천공항T2","2회",NA
"2214",10509,3,"3회",179,180,NA,"91일 이상","포함된 일정이다",166,NA,"91일 이상","교육",NA,NA,NA,NA,NA,"자연경관 감상","고궁/역사 유적지 방문","전통문화체험",NA,NA,NA,NA,"지역 축제 참여",NA,NA,NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,NA,"경상도",NA,NA,6000,6000,"5000$ 초과- 10000$ 이하",33.3333333333333,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","미국","여성","21-30세","교육","자가격리포함","인천공항T1","3회","    개   별    여   행"
"2215",10526,1,"1회",119,120,NA,"91일 이상","포함된 일정이다",106,NA,"91일 이상","사업 또는 전문활동",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,NA,NA,"대구",NA,"부산",NA,NA,NA,NA,"서울",NA,"인천",NA,NA,"경상도",NA,NA,5000,5000,"3000$ 초과- 5000$ 이하",41.6666666666667,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","미국","남성","21-30세","사업또는전문활동","자가격리포함","인천공항T1","1회",NA
"2216",10532,4,"4회 이상",20,21,21,"11~30일","포함된 일정이다",7,7,"4~7일","친구/친지 방문","자연 풍경 감상","음식/미식 탐방","쇼핑","식도락 관광","쇼핑","자연경관 감상",NA,NA,NA,NA,NA,NA,NA,"유흥/오락",NA,NA,NA,NA,NA,NA,NA,NA,"인천",NA,"대전",NA,NA,NA,NA,NA,NA,NA,NA,"광주",NA,NA,NA,NA,NA,"인천",NA,"충청도",NA,"전라도",NA,2657.43,2657.43,"2000$ 초과- 3000$ 이하",126.544285714286,126.544285714286,"100$ 초과 ~ 300$ 이하","④ 대체로 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","태국","여성","31-40세","친구/친지방문","자가격리포함","인천공항T2","4회이상",NA
"2217",10533,10,"4회 이상",359,360,NA,"91일 이상","포함된 일정이다",346,NA,"91일 이상","교육",NA,NA,NA,NA,NA,"자연경관 감상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,"충북",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"제주","서울",NA,NA,NA,"충청도",NA,NA,"제주",15000,NA,"10000$ 초과",41.6666666666667,NA,NA,"④ 대체로 만족","④ 대체로 그렇다","④ 대체로 그렇다","6월","2분기","미국","남성","15-20세","교육","자가격리포함","인천공항T1","4회이상",NA
"2218",10537,2,"2회",160,161,NA,"91일 이상","포함된 일정이다",147,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,"드라마/영화 촬영지 방문",NA,NA,"유흥/오락","뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,NA,"경상도",NA,NA,8000,8000,"5000$ 초과- 10000$ 이하",49.6894409937888,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","미국","여성","21-30세","교육","자가격리포함","인천공항T2","2회","    개   별    여   행"
"2219",10550,1,"1회",119,120,NA,"91일 이상","포함된 일정이다",106,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,NA,NA,NA,"유흥/오락","뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울",NA,"인천",NA,NA,NA,NA,NA,NA,NA,"대구",NA,"부산",NA,NA,NA,"제주","서울",NA,"인천",NA,NA,"경상도",NA,"제주",8000,8000,"5000$ 초과- 10000$ 이하",66.6666666666667,NA,NA,"④ 대체로 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","미국","여성","21-30세","교육","자가격리포함","인천공항T2","1회",NA
"2220",10551,6,"4회 이상",6,7,7,"4~7일","포함되지 않은 일정이다",7,7,"4~7일","사업 또는 전문활동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,3500,3500,"3000$ 초과- 5000$ 이하",500,500,"300$ 초과 ~ 500$ 이하","④ 대체로 만족","③ 보통","④ 대체로 그렇다","6월","2분기","미국","남성","51-60세","사업또는전문활동","자가격리미포함","인천공항T2","4회이상",NA
"2221",10552,1,"1회",119,120,NA,"91일 이상","포함된 일정이다",106,NA,"91일 이상","교육",NA,NA,NA,NA,"쇼핑","자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,NA,NA,NA,"유흥/오락","뷰티/의료관광",NA,NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,"대구",NA,"부산",NA,NA,NA,"제주","서울",NA,NA,NA,NA,"경상도",NA,"제주",8000,8000,"5000$ 초과- 10000$ 이하",66.6666666666667,NA,NA,"④ 대체로 만족","⑤ 매우 그렇다","⑤ 매우 그렇다","6월","2분기","미국","여성","21-30세","교육","자가격리포함","인천공항T2","1회","    개   별    여   행"
"2222",10553,2,"2회",6,7,7,"4~7일","포함되지 않은 일정이다",7,7,"4~7일","사업 또는 전문활동",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"업무수행",NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"서울",NA,NA,NA,NA,NA,NA,NA,4000,4000,"3000$ 초과- 5000$ 이하",571.428571428571,571.428571428571,"500$ 초과","④ 대체로 만족","③ 보통","④ 대체로 그렇다","6월","2분기","미국","남성","41-50세","사업또는전문활동","자가격리미포함","인천공항T2","2회",NA
"2223",10572,3,"3회",299,300,NA,"91일 이상","포함된 일정이다",286,NA,"91일 이상","교육",NA,NA,NA,NA,NA,"자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,NA,NA,NA,NA,NA,NA,NA,"연수/교육/연구",NA,NA,"서울","경기","인천","강원","대전",NA,NA,"세종",NA,NA,NA,NA,"부산","광주",NA,NA,"제주","서울","경기도","인천","강원도","충청도","경상도","전라도","제주",5000,5000,"3000$ 초과- 5000$ 이하",16.6666666666667,NA,NA,"⑤ 매우 만족","⑤ 매우 그렇다","④ 대체로 그렇다","6월","2분기","미국","남성","21-30세","교육","자가격리포함","인천공항T2","3회",NA
"2224",10593,1,"1회",124,125,NA,"91일 이상","포함된 일정이다",111,NA,"91일 이상","교육",NA,NA,NA,"식도락 관광",NA,"자연경관 감상","고궁/역사 유적지 방문","전통문화체험","박물관, 전시관 관람",NA,"드라마/영화 촬영지 방문",NA,"지역 축제 참여","유흥/오락","뷰티/의료관광","스포츠/레포츠 관람 및 참가 비즈니스 활동",NA,"연수/교육/연구",NA,NA,"서울",NA,NA,NA,"대전",NA,NA,NA,NA,NA,"대구",NA,"부산",NA,NA,NA,NA,"서울",NA,NA,NA,"충청도","경상도",NA,NA,10000,10000,"5000$ 초과- 10000$ 이하",80,NA,NA,"④ 대체로 만족","③ 보통","⑤ 매우 그렇다","6월","2분기","미국","남성","21-30세","교육","자가격리포함","인천공항T1","1회",NA
