기준년월,순위,해시태그
202301,1,#seoul
202302,1,#seoul
202303,1,#seoul
202304,1,#seoul
202305,1,#seoul
202306,1,#agustd_suga_tour_in_seoul
202307,1,#seoul
202308,1,#tempest
202301,2,#travelphotography
202302,2,#photography
202303,2,#beauty
202304,2,#travelphotography
202305,2,#busan
202306,2,#seoul
202307,2,#busan
202308,2,#seoul
202301,3,#busan
202302,3,#travelphotography
202303,3,#koreanstyle
202304,3,#busan
202305,3,#beauty
202306,3,#travelphotography
202307,3,#photooftheday
202308,3,#agustd_suga_tour_in_seoul
202301,4,#sea
202302,4,#kbeauty
202303,4,#photography
202304,4,#travelblogger
202305,4,#fashion
202306,4,#busan
202307,4,#fashion
202308,4,#busan
202301,5,#winter
202302,5,#travelblogger
202303,5,#travelphotography
202304,5,#cherryblossom
202305,5,#photooftheday
202306,5,#travelblogger
202307,5,#travelphotography
202308,5,#travelphotography
202301,6,#jeju
202302,6,#busan
202303,6,#ootd
202304,6,#travelgram
202305,6,#ootd
202306,6,#fashion
202307,6,#ootd
202308,6,#travelgram
202301,7,#photooftheday
202302,7,#coffee
202303,7,#exhibition
202304,7,#spring
202305,7,#travelphotography
202306,7,#theoddoflove
202307,7,#seoultravel
202308,7,#travelblogger
202301,8,#cafe
202302,8,#seoultrip
202303,8,#fashion
202304,8,#fashion
202305,8,#lifestyle
202306,8,#koreanstyle
202307,8,#koreanstyle
202308,8,#fashion
202301,9,#travelgram
202302,9,#travelgram
202303,9,#busan
202304,9,#koreanstyle
202305,9,#koreanstyle
202306,9,#summer
202307,9,#travelblogger
202308,9,#jeju
202301,10,#picnic
202302,10,#ootd
202303,10,#lifestyle
202304,10,#travelholic
202305,10,#kimchi
202306,10,#ootd
202307,10,#food
202308,10,#koreainsideout
