기준년월,순위,해시태그
202101,1,#korea
202102,1,#korea
202103,1,#korea
202104,1,#visitkorealater
202105,1,#visitkorealater
202106,1,#korea
202107,1,#seoul
202108,1,#vietnam
202109,1,#travel
202110,1,#korea
202111,1,#korea
202112,1,#korea
202101,2,#travel
202102,2,#travel
202103,2,#visitkorealater
202104,2,#korea
202105,2,#imaginekoreanow
202106,2,#travel
202107,2,#imaginekoreanow
202108,2,#fashion
202109,2,#korea
202110,2,#travel
202111,2,#travel
202112,2,#bts
202101,3,#saigon
202102,3,#visitkorea
202103,3,#travel
202104,3,#vietnam
202105,3,#korea
202106,3,#skincare
202107,3,#visitkorealater
202108,3,#love
202109,3,#vietnam
202110,3,#beauty
202111,3,#koreanstyle
202112,3,#visitkorealater
202101,4,#fashion
202102,4,#kto
202103,4,#makeup
202104,4,#imaginekoreanow
202105,4,#vietnam
202106,4,#beauty
202107,4,#korea
202108,4,#cute
202109,4,#beauty
202110,4,#vietnam
202111,4,#beauty
202112,4,#travel
202101,5,#cute
202102,5,#dulichhanquoc
202103,5,#imaginekoreanow
202104,5,#skincare
202105,5,#skincare
202106,5,#makeup
202107,5,#style
202108,5,#ootd
202109,5,#skincare
202110,5,#koreanstyle
202111,5,#vietnam
202112,5,#seoul
202101,6,#style
202102,6,#style
202103,6,#style
202104,6,#kto
202105,6,#hanoi
202106,6,#vietnam
202107,6,#vietnam
202108,6,#beauty
202109,6,#bts
202110,6,#imaginekoreanow
202111,6,#bts
202112,6,#beauty
202101,7,#instagood
202102,7,#imaginekoreanow
202103,7,#instagood
202104,7,#cute
202105,7,#travel
202106,7,#visitkorealater
202107,7,#travel
202108,7,#style
202109,7,#koreanstyle
202110,7,#visitkorealater
202111,7,#skincare
202112,7,#koreanstyle
202101,8,#visitkorealater
202102,8,#saigon
202103,8,#vietnam
202104,8,#makeup
202105,8,#beauty
202106,8,#imaginekoreanow
202107,8,#dulichhanquoc
202108,8,#travel
202109,8,#imaginekoreanow
202110,8,#kto
202111,8,#instagood
202112,8,#imaginekoreanow
202101,9,#imaginekoreanow
202102,9,#visitkorealater
202103,9,#ootd
202104,9,#hanoi
202105,9,#style
202106,9,#hanoi
202107,9,#visitkorea
202108,9,#korea
202109,9,#love
202110,9,#bts
202111,9,#imaginekoreanow
202112,9,#kto
202101,10,#visitkorea
202102,10,#fashion
202103,10,#fashion
202104,10,#visitkorea
202105,10,#makeup
202106,10,#fashion
202107,10,#kto
202108,10,#saigon
202109,10,#instagood
202110,10,#visitkorea
202111,10,#visitkorealater
202112,10,#skincare
