기준년월,순위,해시태그
201811,1,#kto
201812,1,#dulichhanquoc
201901,1,#dulichhanquoc
201902,1,#dulichhanquoc
201903,1,#visitkorea
201904,1,#visitkorea
201905,1,#dulichhanquoc
201906,1,#visitkorea
201907,1,#kto
201908,1,#dulichhanquoc
201909,1,#dulichhanquoc
201910,1,#korea
201811,2,#visitkorea
201812,2,#kto
201901,2,#visitkorea
201902,2,#kto
201903,2,#dulichhanquoc
201904,2,#dulichhanquoc
201905,2,#kto
201906,2,#dulichhanquoc
201907,2,#dulichhanquoc
201908,2,#kto
201909,2,#kto
201910,2,#dulichhanquoc
201811,3,#dulichhanquoc
201812,3,#visitkorea
201901,3,#kto
201902,3,#visitkorea
201903,3,#kto
201904,3,#kto
201905,3,#visitkorea
201906,3,#kto
201907,3,#visitkorea
201908,3,#visitkorea
201909,3,#visitkorea
201910,3,#kto
201811,4,#seoul
201812,4,#jeju
201901,4,#seoul
201902,4,#beautiful
201903,4,#korea
201904,4,#korea
201905,4,#korea
201906,4,#korea
201907,4,#korea
201908,4,#korea
201909,4,#korea
201910,4,#visitkorea
201811,5,#korea
201812,5,#korea
201901,5,#korea
201902,5,#lipstick
201903,5,#food
201904,5,#skincare
201905,5,#beauty
201906,5,#skincare
201907,5,#skincare
201908,5,#skincare
201909,5,#makeup
201910,5,#travel
201811,6,#food
201812,6,#foody
201901,6,#food
201902,6,#instagood
201903,6,#instagood
201904,6,#instagood
201905,6,#skincare
201906,6,#beauty
201907,6,#beauty
201908,6,#cosmetics
201909,6,#seoul
201910,6,#koreanstyle
201811,7,#foody
201812,7,#food
201901,7,#love
201902,7,#makeup
201903,7,#likeforfollow
201904,7,#beautiful
201905,7,#foody
201906,7,#makeup
201907,7,#cosmetics
201908,7,#beauty
201909,7,#skincare
201910,7,#beauty
201811,8,#jeju
201812,8,#foodstagram
201901,8,#foodie
201902,8,#likeforlike
201903,8,#likeforlike
201904,8,#seoul
201905,8,#makeup
201906,8,#seoul
201907,8,#makeup
201908,8,#jeju
201909,8,#beauty
201910,8,#seoul
201811,9,#skincare
201812,9,#instafood
201901,9,#foody
201902,9,#followme
201903,9,#foodie
201904,9,#food
201905,9,#cosmetics
201906,9,#followme
201907,9,#lipstick
201908,9,#seoul
201909,9,#likeforfollow
201910,9,#skincare
201811,10,#instafood
201812,10,#foodie
201901,10,#instagood
201902,10,#love
201903,10,#instafood
201904,10,#makeup
201905,10,#seoul
201906,10,#cosmetics
201907,10,#likeforfollow
201908,10,#followme
201909,10,#cosmetics
201910,10,#vietnam
