기준년월,순위,해시태그
202201,1,#korea
202202,1,#korea
202203,1,#korea
202204,1,#korea
202205,1,#korea
202206,1,#travel
202207,1,#korea
202208,1,#korea
202209,1,#seoul
202210,1,#seoul
202211,1,#seoul
202212,1,#seoul
202201,2,#travel
202202,2,#travel
202203,2,#ootd
202204,2,#travel
202205,2,#travel
202206,2,#korea
202207,2,#travel
202208,2,#travel
202209,2,#style
202210,2,#travelphotography
202211,2,#autumn
202212,2,#busan
202201,3,#koreanstyle
202202,3,#ootd
202203,3,#travel
202204,3,#beauty
202205,3,#visitkorea
202206,3,#fashion
202207,3,#vietnam
202208,3,#vietnam
202209,3,#photooftheday
202210,3,#autumn
202211,3,#traveltokoreabeginsagain
202212,3,#koreanstyle
202201,4,#visitkorealater
202202,4,#instagood
202203,4,#fashion
202204,4,#fashion
202205,4,#vietnam
202206,4,#instagood
202207,4,#koreanstyle
202208,4,#love
202209,4,#travelphotography
202210,4,#koreastyle
202211,4,#travelphotography
202212,4,#photography
202201,5,#fashion
202202,5,#imaginekoreanow
202203,5,#beauty
202204,5,#vietnam
202205,5,#koreanstyle
202206,5,#visitkorea
202207,5,#photooftheday
202208,5,#fashion
202209,5,#photography
202210,5,#halloween
202211,5,#busan
202212,5,#traveltokoreabeginsagain
202201,6,#imaginekoreanow
202202,6,#koreanstyle
202203,6,#koreanstyle
202204,6,#imaginekoreanow
202205,6,#kto
202206,6,#photooftheday
202207,6,#hanoi
202208,6,#seoul
202209,6,#traveltokoreabeginsagain
202210,6,#busan
202211,6,#travelblogger
202212,6,#korealife
202201,7,#beauty
202202,7,#visitkorealater
202203,7,#visitkorealater
202204,7,#love
202205,7,#fashion
202206,7,#love
202207,7,#love
202208,7,#photooftheday
202209,7,#hellokorea
202210,7,#travelblogger
202211,7,#lifestyle
202212,7,#koreatravelguide
202201,8,#style
202202,8,#bts
202203,8,#imaginekoreanow
202204,8,#koreanstyle
202205,8,#ootd
202206,8,#vietnam
202207,8,#fashion
202208,8,#style
202209,8,#kpop
202210,8,#ootd
202211,8,#photography
202212,8,#koreanlearning
202201,9,#instagood
202202,9,#seoul
202203,9,#vietnam
202204,9,#visitkorea
202205,9,#love
202206,9,#ootd
202207,9,#seoul
202208,9,#koreanstyle
202209,9,#busan
202210,9,#traveltokoreabeginsagain
202211,9,#koreanstyle
202212,9,#wanderlust
202201,10,#seoul
202202,10,#fashion
202203,10,#bts
202204,10,#instagood
202205,10,#seoul
202206,10,#cute
202207,10,#beauty
202208,10,#beauty
202209,10,#bts
202210,10,#lifestyle
202211,10,#beauty
202212,10,#picnic
