기준년월,버즈,인게이지먼트,,인게이지먼트 총계
202001,18631,21908,188120,649364
202002,30898,71800,188120,649364
202003,25514,48220,188120,649364
202004,10881,13723,188120,649364
202005,10909,9681,188120,649364
202006,14159,64641,188120,649364
202007,14264,48680,188120,649364
202008,12384,61174,188120,649364
202009,13298,85353,188120,649364
202010,11442,67024,188120,649364
202011,10871,69170,188120,649364
202012,14869,87990,188120,649364
