기준년월,국가,Twitter,Facebook,Instagram,YouTube,기타
202101,베트남,0.4589114,0.004055496,1.6755603000000001,1.2273212,96.2326574
202102,베트남,1.428736,0.003802281,1.1637285000000002,1.3135154,95.7137919
202103,베트남,1.2534819000000001,0.004974135,1.55193,2.1388778,94.5582969
202104,베트남,1.335056,0.005081826,0.9130060000000001,2.9715762,94.2721792
202105,베트남,2.0679309999999997,0.004285867,0.9214615,3.5786991999999995,93.0033215
202106,베트남,1.4399364,0.002863962,1.2490055999999998,5.0914877,91.9331742
202107,베트남,4.573725700000001,0.00159284,0.2351335,0.9632888,94.068568
202108,베트남,1.9589838,0.0,0.1530456,1.9207223999999998,95.9672482
202109,베트남,5.2588018,7.63991E-4,0.6366588000000001,1.4452155,92.5829248
202110,베트남,2.896559,0.004069983,1.0994239,1.1839949,94.4130239
202111,베트남,1.7954398999999999,0.002861627,1.4354288,0.8538724,95.6290963
202112,베트남,2.3575727,0.002760306,0.8371419999999999,0.9185936,95.6106611
