기준년월,국가,긍정,부정,긍정 총계,부정 총계
202001,베트남,40.58577405857741,59.41422594142259,534.8931358891729,665.1068641108271
202002,베트남,28.045867176301957,71.95413282369803,534.8931358891729,665.1068641108271
202003,베트남,25.13812154696133,74.86187845303867,534.8931358891729,665.1068641108271
202004,베트남,41.345632121540966,58.654367878459034,534.8931358891729,665.1068641108271
202005,베트남,41.08781127129751,58.91218872870249,534.8931358891729,665.1068641108271
202006,베트남,50.16863406408094,49.83136593591905,534.8931358891729,665.1068641108271
202007,베트남,54.079861111111114,45.92013888888889,534.8931358891729,665.1068641108271
202008,베트남,57.769816390506044,42.230183609493956,534.8931358891729,665.1068641108271
202009,베트남,38.1489841986456,61.8510158013544,534.8931358891729,665.1068641108271
202010,베트남,40.01248439450686,59.98751560549314,534.8931358891729,665.1068641108271
202011,베트남,55.56270096463023,44.437299035369776,534.8931358891729,665.1068641108271
202012,베트남,62.94744859101294,37.05255140898705,534.8931358891729,665.1068641108271
