기준년월,버즈,인게이지먼트,,인게이지먼트 총계
202101,9370,41665,166257,510238
202102,8679,22779,166257,510238
202103,10052,38588,166257,510238
202104,11610,50843,166257,510238
202105,9333,15188,166257,510238
202106,12570,19655,166257,510238
202107,13184,22880,166257,510238
202108,13068,43699,166257,510238
202109,15707,48900,166257,510238
202110,18919,108193,166257,510238
202111,21666,45984,166257,510238
202112,22099,51864,166257,510238
