기준년월,국가,Twitter,Facebook,Instagram,YouTube,기타
202001,베트남,2.5495143000000002,0.002361655,0.7568032,1.5619129,94.8956041
202002,베트남,2.9937213000000003,0.001100395,0.6181629999999999,2.3108291999999997,93.9672471
202003,베트남,1.0856785,0.0,0.6663009,2.7122364,95.5357843
202004,베트남,1.8288760000000002,9.19033E-5,2.0218730000000003,4.4481206,91.6919401
202005,베트남,3.7216977,0.001375011,1.3658447,1.4300119,93.34494450000001
202006,베트남,1.3913412,0.002048167,1.0099583,5.0074158,92.386468
202007,베트남,2.4817723,0.002734156,1.0095345,3.5333707,92.7019069
202008,베트남,2.3013566,0.002260982,0.7832686999999999,7.9053618000000005,88.7839147
202009,베트남,5.0684313,0.002556775,0.6843134,1.3310272,92.6605505
202010,베트남,1.4770145000000001,0.003146303,0.6467401,1.3196994,96.2419157
202011,베트남,1.0762578999999999,0.00515132,0.9934689,4.295833,93.1193083
202012,베트남,1.0088103,0.004237003,0.7599703999999999,1.0357119,96.77180709999999
